protocol_id	source	endpoint	metric_level	task	split	seed_status	model_key	parameter_count	pretraining_variant	window_bp	n_species	n_windows_per_species	mean_te_f1
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_250m	250M	standard	8192	5	1200	0.158710405732892
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_50m	50M	standard	512	6	1200	0.392670186153215
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_50m	50M	standard	512	5	1200	0.203213974857644
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_50m	50M	standard	1024	6	1200	0.455656740787881
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_50m	50M	standard	1024	5	1200	0.172877896019956
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_50m	50M	standard	2048	6	1200	0.565275108127701
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_50m	50M	standard	2048	5	1200	0.268611129131578
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_50m	50M	standard	4096	6	1200	0.53832679541144
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_50m	50M	standard	4096	5	1200	0.164755835129815
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv2_50m	50M	standard	8192	6	1200	0.581494884276273
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv2_50m	50M	standard	8192	5	1200	0.203521859149161
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre	100M	pretrained	512	6	1200	0.472432229362348
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre	100M	pretrained	512	5	1200	0.339538885472814
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre	100M	pretrained	1024	6	1200	0.449211516063318
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre	100M	pretrained	1024	5	1200	0.264263047746331
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre	100M	pretrained	2048	6	1200	0.582233848978772
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre	100M	pretrained	2048	5	1200	0.398015006922649
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre	100M	pretrained	4096	6	1200	0.536455969902687
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre	100M	pretrained	4096	5	1200	0.343334548486359
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre	100M	pretrained	8192	6	1200	0.496425547955409
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre	100M	pretrained	8192	5	1200	0.315268433002763
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	512	6	1200	0.402571697133295
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	512	5	1200	0.140080756765246
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	1024	6	1200	0.407223333147108
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	1024	5	1200	0.101736016087292
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	2048	6	1200	0.459530770185087
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	2048	5	1200	0.195502625825704
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	4096	6	1200	0.450478482812891
