variant	split	iou_threshold	boundary_tol_bp	train_steps	mean_train_loss	token_label_mode	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate
ce_baseline	val	0.8	5	40	0.062282166170189154	single_nt	83579	7428	1148	71685	0.9183799048424847	0.9864506001628761	0.9511989711723401	0.517132568359375	0.555462646484375	163840	156	353	62	291	94	0.17563739376770537	0.3974358974358974	0.24361493123772102	0.9391268382758398	0.0708215297450425	0.16025641025641027	0.09823182711198428	5.75	0.45042492917847027	243	0.29218106995884774	0.018265276036901527	1.435897435897436	0.1346153846153846	0.019230769230769232
ce_baseline	test	0.8	5	40	0.062282166170189154	single_nt	45363	5264	26521	86692	0.8960238607857467	0.6310583718212676	0.7405539094448662	0.4387451171875	0.309002685546875	163840	244	336	89	247	155	0.2648809523809524	0.36475409836065575	0.30689655172413793	0.9343773998834838	0.12202380952380952	0.1680327868852459	0.1413793103448276	4.0	0.6696428571428571	183	0.47540983606557374	0.0368254019499804	1.1147540983606556	0.13934426229508196	0.26229508196721313
joint_hmm	val	0.8	5	40	0.01900380621664226	single_nt	82416	4153	2311	74960	0.9520267070198339	0.9727241611292741	0.9622641509433962	0.517132568359375	0.528375244140625	163840	156	108	66	42	90	0.6111111111111112	0.4230769230769231	0.5	0.9493389592204013	0.2777777777777778	0.19230769230769232	0.2272727272727273	4.5	0.8518518518518519	6	0.6666666666666666	0.43176516222636074	0.9487179487179487	0.01282051282051282	0.0641025641025641
joint_hmm	test	0.8	5	40	0.01900380621664226	single_nt	55771	4007	16113	87949	0.932968650674161	0.7758471982638696	0.847184457170634	0.4387451171875	0.36485595703125	163840	244	147	75	72	169	0.5102040816326531	0.3073770491803279	0.3836317135549872	0.9422246013710507	0.272108843537415	0.16393442622950818	0.20460358056265984	2.5	0.8639455782312925	4	0.75	0.5200585168277837	0.7459016393442623	0.01639344262295082	0.30327868852459017
joint_crf	val	0.8	5	40	0.029128310084342957	single_nt	83564	9234	1163	69879	0.9004935451195069	0.986273560966398	0.9414336009012815	0.517132568359375	0.56639404296875	163840	156	90	48	42	108	0.5333333333333333	0.3076923076923077	0.3902439024390244	0.9340315778756506	0.16666666666666666	0.09615384615384616	0.1219512195121951	5.75	0.7222222222222222	4	0.5	0.37797525837770124	0.9807692307692307	0.00641025641025641	0.02564102564102564
joint_crf	test	0.8	5	40	0.029128310084342957	single_nt	64657	14193	7227	77763	0.82	0.899463023760503	0.8578953653455755	0.4387451171875	0.48126220703125	163840	244	125	67	58	177	0.536	0.27459016393442626	0.3631436314363144	0.9161138545746729	0.136	0.06967213114754098	0.09214092140921408	7.5	0.832	11	0.9090909090909091	0.6114589608009492	0.8401639344262295	0.00819672131147541	0.1721311475409836
joint_semimarkov_proxy	val	0.8	5	40	0.07078023593930993	single_nt	80086	2153	4641	76960	0.9738202069577694	0.9452240726096758	0.9593090808907202	0.517132568359375	0.501947021484375	163840	156	144	77	67	79	0.5347222222222222	0.4935897435897436	0.5133333333333333	0.9471065598892688	0.2013888888888889	0.1858974358974359	0.19333333333333336	6.0	0.8958333333333334	16	0.5625	0.2830977914602794	1.0576923076923077	0.08974358974358974	0.0641025641025641
joint_semimarkov_proxy	test	0.8	5	40	0.07078023593930993	single_nt	57886	3456	13998	88500	0.9436601349809266	0.8052696010238718	0.8689895365769444	0.4387451171875	0.37440185546875	163840	244	174	89	85	155	0.5114942528735632	0.36475409836065575	0.4258373205741627	0.943548653494759	0.25287356321839083	0.18032786885245902	0.21052631578947373	3.5	0.9022988505747126	27	0.6296296296296297	0.3743632578288763	0.75	0.036885245901639344	0.30327868852459017
