exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	variant	threshold	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision_iou50	segment_recall_iou50	segment_f1_iou50	mean_matched_iou	boundary_precision_100bp	boundary_recall_100bp	boundary_f1_100bp	median_boundary_error_bp	mean_pred_fragments_per_true_te	median_pred_fragments_per_true_te	split_true_te_rate	missed_true_te_rate	pred_short_fragment_rate	mean_pred_segment_len	chrom	path	species
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	233628.0	23027.0	6509.0	967684.0	0.9102803374179346	0.9728946393100605	0.9405465466432632	0.19509882617512478	0.20851884229409318	1230848.0	650.0	470.0	382.0	88.0	268.0	0.8127659574468086	0.5876923076923077	0.6821428571428572	0.8818349333551165	0.7127659574468085	0.5153846153846153	0.5982142857142856	6.0	0.9507692307692308	1.0	0.003076923076923077	0.052307692307692305	0.13829787234042554	546.0744680851063	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/chicken/summary_w4096_s2048.tsv	chicken
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/chicken/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	crf_style_penalty4	0.35	233515.0	23146.0	6622.0	967565.0	0.9098187882070123	0.9724240745907544	0.9400802740751774	0.19509882617512478	0.20852371698211314	1230848.0	650.0	447.0	369.0	78.0	281.0	0.825503355704698	0.5676923076923077	0.6727438468550593	0.8866752782414223	0.7158836689038032	0.49230769230769234	0.5834092980856882	5.5	0.9446153846153846	1.0	0.003076923076923077	0.05846153846153846	0.1029082774049217	574.1856823266219	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/chicken/summary_w4096_s2048.tsv	chicken
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	792899.0	96698.0	1257.0	344090.0	0.8913013420683747	0.9984171875550899	0.9418234147170044	0.6430704550165838	0.7203541213204809	1234944.0	595.0	1435.0	65.0	1370.0	530.0	0.04529616724738676	0.1092436974789916	0.06403940886699508	0.8102448635437298	0.020209059233449476	0.04873949579831933	0.02857142857142857	116.5	1.119327731092437	1.0	0.023529411764705882	0.008403361344537815	0.897560975609756	619.9282229965157	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	793194.0	100790.0	962.0	339998.0	0.8872574900669363	0.9987886510962581	0.9397253782269245	0.6430704550165838	0.7239065091210614	1234944.0	595.0	118.0	44.0	74.0	551.0	0.3728813559322034	0.07394957983193277	0.12342215988779803	0.7833809258964156	0.1694915254237288	0.03361344537815126	0.056100981767180924	118.0	0.9899159663865547	1.0	0.0	0.010084033613445379	0.0	7576.135593220338	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap100_min100	0.35	793237.0	102429.0	919.0	338359.0	0.8856392896459171	0.9988427966293776	0.9388408956683012	0.6430704550165838	0.7252685141998342	1234944.0	595.0	109.0	40.0	69.0	555.0	0.3669724770642202	0.06722689075630252	0.11363636363636363	0.7798977025418974	0.1651376146788991	0.030252100840336135	0.05113636363636364	183.75	0.9915966386554622	1.0	0.0	0.008403361344537815	0.0	8217.119266055046	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap200_min100	0.35	793352.0	104240.0	804.0	336548.0	0.8838670576386598	0.9989876044505109	0.9379080099400147	0.6430704550165838	0.7268280990878938	1234944.0	595.0	99.0	33.0	66.0	562.0	0.3333333333333333	0.05546218487394958	0.09510086455331411	0.7856322540774339	0.16161616161616163	0.02689075630252101	0.046109510086455335	212.5	0.9915966386554622	1.0	0.0	0.008403361344537815	0.0	9066.585858585859	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	hmm_penalty2	0.35	790014.0	75804.0	4142.0	364984.0	0.9124481126518507	0.994784400042309	0.9518390047073028	0.6430704550165838	0.7010989972014925	1234944.0	595.0	166.0	72.0	94.0	523.0	0.4337349397590362	0.12100840336134454	0.1892247043363995	0.8034865059732739	0.20481927710843373	0.05714285714285714	0.08935611038107752	76.25	0.9714285714285714	1.0	0.0067226890756302525	0.03529411764705882	0.054216867469879526	5215.77108433735	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/fruit_fly/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	crf_style_penalty4	0.35	790055.0	75847.0	4101.0	364941.0	0.9124069467445507	0.9948360271785393	0.9518402369073852	0.6430704550165838	0.7011670164800995	1234944.0	595.0	148.0	67.0	81.0	528.0	0.45270270270270274	0.11260504201680673	0.180349932705249	0.8098348290489602	0.22297297297297294	0.05546218487394958	0.08882907133243607	64.0	0.9680672268907563	1.0	0.0033613445378151263	0.03529411764705882	0.006756756756756756	5850.689189189189	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/fruit_fly/summary_w4096_s2048.tsv	fruit_fly
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/mouse/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	raw_threshold	0.35	672948.0	55543.0	7467.0	494890.0	0.9237560930745884	0.9890258151275325	0.9552773570415628	0.5528018081842762	0.5918610583922629	1230848.0	1036.0	2429.0	636.0	1793.0	400.0	0.26183614656237136	0.6138996138996139	0.3670995670995671	0.8472221334154499	0.2099629477151091	0.4922779922779923	0.2943722943722944	12.5	1.164092664092664	1.0	0.06274131274131274	0.03185328185328185	0.6978180321119802	299.91395636064226	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/mouse/summary_w4096_s2048.tsv	mouse
PIPE-TEFM-LOCK-20260619	generanno	4096	2048	triangular	software_outputs/tefm_lock/PIPE-TEFM-LOCK-20260619/data/segment_primary/mouse/test/data.jsonl.gz	software_outputs/tefm_repair/PIPE-TEFM-REPAIR-20260618/runs/TFREPAIR_invert_boost_animal_4096_seed42	600	gap50_min80	0.35	672841.0	61834.0	7574.0	488599.0	0.9158348929798892	0.9888685581593585	0.9509515295846906	0.5528018081842762	0.596885236844842	1230848.0	1036.0	609.0	456.0	153.0	580.0	0.7487684729064039	0.44015444015444016	0.5544072948328268	0.8328395738613996	0.5599343185550082	0.32915057915057916	0.4145896656534954	16.0	0.9536679536679536	1.0	0.0	0.04633204633204633	0.0	1206.3628899835796	WEIGHTED_MEAN	reports/tefm_lock/PIPE-TEFM-LOCK-20260619/segment_multi_species/primary/mouse/summary_w4096_s2048.tsv	mouse
