setting	description	status	embedding_dim	class_nmi	class_ari	species_nmi	species_ari
A0	Raw 6-mer frequencies (4096-d)	complete	4096	0.10145580165447736	0.031518738225279425	0.1475550486710071	0.04336118328717599
A1	Pretrained GENERanno (no contrastive)	complete	1280	0.05649388252759952	0.020755929385284387	0.021118350970282564	0.006512949595980317
A2	Multi-species finetuned GENERanno (no contrastive)	complete	1280	0.07141180244524856	0.018770885130551966	0.06380196580595805	0.0234204867108003
B0	6-mer frequencies + contrastive projection (128-d)	complete	128	0.9712845798589889	0.928140861353331	0.12112920712751359	0.02452246203773384
B1	Pretrained GENERanno + contrastive	complete	128	0.10068502850662372	0.04505260903282338	0.030884815753229197	0.011760885264349881
B2	Finetuned GENERanno + contrastive	complete	128	0.07709472003390798	0.024541218005338133	0.06151704514897833	0.022438985601880564
