panel	variant	exp_id	seed	window	max_eval_samples	n_bp	token_label_mode	threshold	postprocess_family	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction	overmerge_rate	iou_threshold	boundary_tol_bp	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	gap	min_len	hmm_penalty	rescue_threshold	rescue_max_len	short_cutoff	delta_segment_vs_raw_t050	delta_boundary_vs_raw_t050	delta_missed_vs_raw_t050	strict_guardrail_safe
human_test	raw_t0.20	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.2	raw	60808	5420	11076	86536	0.9181615026876849	0.8459184241277614	0.8805607043558851	0.4387451171875	0.4042236328125	163840	0.6720977596741344	339	0.5693215339233039	0.02054739056697148	1.569672131147541	0.15163934426229508	0.2540983606557377	0	0	0	0.0	0.054989816700611	0.8	5	244	491	89	402	155	0.18126272912423624	0.36475409836065575	0.2421768707482993	0.9382734607035704	0.0855397148676171	0.1721311475409836	0.11428571428571428	4.0							0.08798525398183224	0.03793840889649272	-0.03278688524590162	True
human_test	raw_t0.30	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.3	raw	59459	4662	12425	87294	0.9272937103289094	0.8271520783484503	0.8743649130546671	0.4387451171875	0.391363525390625	163840	0.7159663865546219	433	0.6351039260969977	0.015748529339310445	1.8975409836065573	0.14754098360655737	0.27049180327868855	0	0	0	0.0	0.03529411764705882	0.8	5	244	595	95	500	149	0.15966386554621848	0.38934426229508196	0.2264600715137068	0.937461449718155	0.07226890756302522	0.1762295081967213	0.10250297973778309	4.5							0.07226845474723975	0.02615567434856153	-0.016393442622950782	True
human_test	raw_t0.40	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.4	raw	57468	4082	14416	87874	0.9336799350121853	0.7994546769795782	0.8613696659022438	0.4387451171875	0.37567138671875	163840	0.831764705882353	684	0.804093567251462	0.011770019505958153	3.0245901639344264	0.15163934426229508	0.2827868852459016	0	0	0	0.0	0.021176470588235293	0.8	5	244	850	102	748	142	0.12	0.4180327868852459	0.18647166361974407	0.9374780235741763	0.05647058823529412	0.19672131147540983	0.08775137111517368	4.25							0.03228004685327701	0.011404065725952123	-0.0040983606557377095	True
human_test	raw_t0.50	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	raw	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.8	5	244	1092	103	989	141	0.09432234432234432	0.42213114754098363	0.15419161676646706	0.9405342237825162	0.046703296703296704	0.20901639344262296	0.07634730538922156	4.0							0.0	0.0	0.0	True
human_test	hmm_p1_rescue_t0.50_max80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm_rescue_short	54999	3746	16885	88210	0.9362328708826283	0.7651076734739303	0.8420641664561469	0.4387451171875	0.358551025390625	163840	0.8715753424657534	425	0.8447058823529412	0.01615004519549971	2.2172131147540983	0.0860655737704918	0.28688524590163933	0	0	0	0.0	0.032534246575342464	0.8	5	244	584	95	489	149	0.16267123287671234	0.38934426229508196	0.22946859903381644	0.9412742398966742	0.07705479452054795	0.18442622950819673	0.10869565217391305	4.0			1.0	0.5	80		0.07527698226734938	0.03234834678469149	0.0	True
human_test	hmm_p1_rescue_t0.50_max150	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm_rescue_short	54999	3746	16885	88210	0.9362328708826283	0.7651076734739303	0.8420641664561469	0.4387451171875	0.358551025390625	163840	0.8715753424657534	425	0.8447058823529412	0.01615004519549971	2.2172131147540983	0.0860655737704918	0.28688524590163933	0	0	0	0.0	0.032534246575342464	0.8	5	244	584	95	489	149	0.16267123287671234	0.38934426229508196	0.22946859903381644	0.9412742398966742	0.07705479452054795	0.18442622950819673	0.10869565217391305	4.0			1.0	0.5	150		0.07527698226734938	0.03234834678469149	0.0	True
human_test	hmm_p1_rescue_t0.50_max300	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm_rescue_short	54999	3746	16885	88210	0.9362328708826283	0.7651076734739303	0.8420641664561469	0.4387451171875	0.358551025390625	163840	0.8715753424657534	425	0.8447058823529412	0.01615004519549971	2.2172131147540983	0.0860655737704918	0.28688524590163933	0	0	0	0.0	0.032534246575342464	0.8	5	244	584	95	489	149	0.16267123287671234	0.38934426229508196	0.22946859903381644	0.9412742398966742	0.07705479452054795	0.18442622950819673	0.10869565217391305	4.0			1.0	0.5	300		0.07527698226734938	0.03234834678469149	0.0	True
human_test	lenadaptive_raw0.50_hmm1_cut80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	length_adaptive	54899	3740	16985	88216	0.9362199218949846	0.763716543319793	0.8412157244317094	0.4387451171875	0.357904052734375	163840	0.879154078549849	503	0.8588469184890656	0.013541087607578117	2.5163934426229506	0.0942622950819672	0.28688524590163933	0	0	0	0.0	0.028700906344410877	0.8	5	244	662	95	567	149	0.14350453172205438	0.38934426229508196	0.2097130242825607	0.9412742398966742	0.06797583081570997	0.18442622950819673	0.09933774834437085	4.0			1.0			80	0.055521407516093635	0.022990442955149293	0.0	True
human_test	lenadaptive_raw0.50_hmm1_cut150	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	length_adaptive	54861	3721	17023	88235	0.9364821958963504	0.7631879138612209	0.8410007204942284	0.4387451171875	0.35755615234375	163840	0.8644793152639088	547	0.8409506398537477	0.016410684680754843	2.6147540983606556	0.11065573770491803	0.28688524590163933	0	0	0	0.0	0.02710413694721826	0.8	5	244	701	96	605	148	0.1369472182596291	0.39344262295081966	0.2031746031746032	0.9394068944926858	0.06419400855920114	0.18442622950819673	0.09523809523809525	4.0			1.0			150	0.04898298640813614	0.018890789848873685	0.0	True
human_test	lenadaptive_raw0.50_hmm1_cut300	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	length_adaptive	54796	3703	17088	88253	0.9366997726456863	0.7622836792610317	0.8405390273271822	0.4387451171875	0.357049560546875	163840	0.8618421052631579	607	0.8401976935749588	0.015141413826503572	2.8114754098360657	0.13114754098360656	0.28688524590163933	0	0	0	0.0	0.02368421052631579	0.8	5	244	760	98	662	146	0.12894736842105264	0.4016393442622951	0.19521912350597612	0.9380191695047326	0.060526315789473685	0.1885245901639344	0.09163346613545817	4.0			1.0			300	0.041027506739509056	0.015286160746236607	0.0	True
