species,windows,te_bp,bg_bp,native_te_recall,bg_shuffle_te_recall_delta_pp,bg_shuffle_interior_recall_delta_pp,bg_shuffle_te_mean_p_delta,bg_shuffle_window_recall_delta_median_pp,bg_shuffle_window_absolute_delta_median_pp,bg_shuffle_windows_absolute_delta_at_least_10pp,bg_shuffle_window_delta_min_pp,bg_shuffle_window_delta_max_pp,bg_shuffle_windows_recall_down,bg_shuffle_windows_recall_up,bg_shuffle_windows_recall_equal,te_shuffle_original_te_site_positive_fraction,te_shuffle_original_te_site_mean_p_delta,bg_changed_fraction,te_changed_fraction
human,32,55232,69351,0.925170191193511,-1.5045625724217748,-1.3688419055363554,-0.014256154759991868,-0.4809842537900455,1.0714023911542414,3,-37.853107344632775,34.92063492063492,22,8,2,0.0056488991888760135,-0.8576369633605598,0.7159810240659832,0.7222443511008111
mouse,32,46846,80041,0.9419801050249754,-0.4674892199974301,-0.3847072245363625,-0.006050753217801574,-0.2571458128691695,0.9234985644340776,3,-31.550802139037426,16.170763260025865,18,9,5,0.0,-0.8832809921299433,0.7295136242675628,0.7267002518891688
chicken,32,20919,108404,0.851522539318323,0.03346240260051481,0.7472629322829105,-0.011096059513428402,0.0,0.8689171085155767,4,-36.769759450171826,33.23615160349854,11,15,6,0.0,-0.8060816965095617,0.7348806317110069,0.7436301926478321
zebrafish,32,79405,47669,0.9336313834141426,-0.5503431773817735,-0.36608444761579984,-0.004515385465056587,-0.040484488977909905,0.4402476759801044,1,-12.579957356076765,4.607131587251501,17,11,4,0.04853598639884138,-0.8124211316685671,0.7122028991587824,0.7249543479629746
pig,32,35415,92505,0.9147253988422984,-1.355357899195253,-0.8422887017136227,-0.01274997170442227,-0.7856207013816174,1.721666111978698,2,-10.223953261927942,13.367174280879867,20,9,3,0.0,-0.8449530561330032,0.7283606291551808,0.710856981505012
c_elegans,32,27554,98819,0.7140524061842201,0.5334978587500983,0.46188320299995755,0.00552613290794246,0.0,4.647262130658714,8,-37.735849056603776,54.87603305785124,11,14,7,0.031211439355447484,-0.5625825519312799,0.7232414819012538,0.7172824272337954
