source	species	model	te_f1	target_kingdom	anchor_type	distance_mya	log_distance_mya	target_gc	same_kingdom_anchor	cross_anchor	plant_target	insect_target	vertebrate_target	label_jaccard	library_completeness	self_ucsc_ratio_log	path
calib_summary	lizard	TFREPAIR_invert_boost_animal_4096_seed42	0.24164004169870312	vertebrate	animal	320.0	2.505149978319906	0.40405036669277106	1.0	0.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/animal_invert_boost/stress_eval/lizard.json
calib_summary	red_flour_beetle	TFREPAIR_invert_boost_animal_4096_seed42	0.004448888579938293	insect	animal	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/animal_invert_boost/stress_eval/red_flour_beetle.json
calib_summary	western_honey_bee	TFREPAIR_invert_boost_animal_4096_seed42	0.052179883281840034	insect	animal	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/animal_invert_boost/stress_eval/western_honey_bee.json
calib_summary	x_laevis	TFREPAIR_invert_boost_animal_4096_seed42	0.40137759810717816	vertebrate	animal	370.0	2.568201724066995	0.3856893499332528	1.0	0.0	0.0	0.0	1.0	0.000194	0.000194	-3.6232965958865218	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/animal_invert_boost/stress_eval/x_laevis.json
calib_summary	cattle	cross_supervised_4096	0.9213113792693673	vertebrate	cross	96.0	1.9822712330395684	0.4334912109375	0.0	1.0	0.0	0.0	1.0	0.48001	0.488924	-0.29456695170425834	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/cattle.json
calib_summary	horse	cross_supervised_4096	0.8925601404845789	vertebrate	cross	96.0	1.9822712330395684	0.5177628848360556	0.0	1.0	0.0	0.0	1.0	0.791397	0.812579	-0.07606022944133566	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/horse.json
calib_summary	human	cross_supervised_4096	0.9023446184329426	vertebrate	cross	6.0	0.7781512503836436	0.545770263671875	0.0	1.0	0.0	0.0	1.0	0.948128	0.966802	-0.005903571159263742	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/human.json
calib_summary	lizard	cross_supervised_4096	0.24003800453783136	vertebrate	cross	320.0	2.505149978319906	0.40405036669277106	0.0	1.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/lizard.json
calib_summary	opossum	cross_supervised_4096	0.8799647530707007	vertebrate	cross	160.0	2.204119982655925	0.4415015398206201	0.0	1.0	0.0	0.0	1.0	0.387702	0.396173	-0.37880048273767486	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/opossum.json
calib_summary	pig	cross_supervised_4096	0.8761042913185231	vertebrate	cross	96.0	1.9822712330395684	0.52506103515625	0.0	1.0	0.0	0.0	1.0	0.582164	0.594998	-0.20968427520846328	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/pig.json
calib_summary	red_flour_beetle	cross_supervised_4096	0.00308713842548429	insect	cross	820.0	2.9138138523837167	0.3398226403076848	0.0	1.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/red_flour_beetle.json
calib_summary	soybean	cross_supervised_4096	0.4136761357660033	plant	cross	1550.0	3.1903316981702914	0.33281741126935166	0.0	1.0	1.0	0.0	0.0	0.121572	0.122064	-0.8992367578779318	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/soybean.json
calib_summary	teosinte	cross_supervised_4096	0.9299634062638151	plant	cross	1500.0	3.1760912590556813	0.435516357421875	0.0	1.0	1.0	0.0	0.0	0.086856	0.088019	-0.993955514543429	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/teosinte.json
calib_summary	western_honey_bee	cross_supervised_4096	0.005289801490245151	insect	cross	820.0	2.9138138523837167	0.3657441979287441	0.0	1.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/western_honey_bee.json
calib_summary	x_laevis	cross_supervised_4096	0.3945827783795458	vertebrate	cross	370.0	2.568201724066995	0.3856893499332528	0.0	1.0	0.0	0.0	1.0	0.000194	0.000194	-3.6232965958865218	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/cross_eval/x_laevis.json
calib_summary	soybean	cross_supervised_4096	0.4136761357660033	plant	cross	1550.0	3.1903316981702914	0.33281741126935166	0.0	1.0	1.0	0.0	0.0	0.121572	0.122064	-0.8992367578779318	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_eval/soybean.json
calib_summary	teosinte	cross_supervised_4096	0.9299634062638151	plant	cross	1500.0	3.1760912590556813	0.435516357421875	0.0	1.0	1.0	0.0	0.0	0.086856	0.088019	-0.993955514543429	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_eval/teosinte.json
calib_summary	brachypodium	cross_supervised_4096	0.8175422271365038	plant	cross	1500.0	3.1760912590556813	0.455743408203125	0.0	1.0	1.0	0.0	0.0	0.101164	0.1029	-0.9206109317487544	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_fine/brachypodium.json
calib_summary	maize	cross_supervised_4096	0.9629892479990331	plant	cross	1500.0	3.1760912590556813	0.475595703125	0.0	1.0	1.0	0.0	0.0	0.095466	0.095627	-1.0118103771989704	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_fine/maize.json
calib_summary	rice	cross_supervised_4096	0.8757886614942711	plant	cross	1500.0	3.1760912590556813	0.435623779296875	0.0	1.0	1.0	0.0	0.0	0.042709	0.042814	-1.344116021434893	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_fine/rice.json
calib_summary	sorghum	cross_supervised_4096	0.9154621597006131	plant	cross	1500.0	3.1760912590556813	0.443807373046875	0.0	1.0	1.0	0.0	0.0	0.057919	0.05798	-1.228939555640864	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_fine/sorghum.json
calib_summary	thale_cress	cross_supervised_4096	0.7121875392581978	plant	cross	1550.0	3.1903316981702914	0.372218017578125	0.0	1.0	1.0	0.0	0.0	0.043011	0.043145	-1.3348837532454814	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/plant_fine/thale_cress.json
