feature_set	split	n_rows	n_species	rmse	mae	top2_contains_best_rate	top2_probe_mean_regret
baseline_plus_kmer	leave_species_out	156	22	0.26424692687131895	0.21944477308837795	0.8636363636363636	0.007082966203372802
baseline_plus_kmer	leave_clade_out	156	22	0.41641938454997834	0.34336357146138474	0.5909090909090909	0.05069119716487425
baseline_plus_kmer_minhash	leave_species_out	156	22	0.2644935130117361	0.2031338156666897	0.7727272727272727	0.0468624519473645
baseline_plus_kmer_minhash	leave_clade_out	156	22	0.37160406261329304	0.3002217126711905	0.8181818181818182	0.042684237954662536
minhash_only_router	leave_species_out	156	22	0.286684186221856	0.2186805650241886	0.7272727272727273	0.04711818356848132
minhash_only_router	leave_clade_out	156	22	0.3324832700383255	0.27125654982661374	0.6818181818181818	0.05343475603657786
