feature_set	split	species	species_group	action	deployed_anchor_or_shortlist	top1_anchor	top2_anchors	true_best_anchor	top1_contains_best	top2_contains_best	top1_actual_te_f1	top2_probe_actual_te_f1	true_best_te_f1	top1_regret	top2_probe_regret	deployed_regret	pred_top1_score	pred_top2_score	pred_margin	pred_top1_sd	risk_bin	abstain	local_probe_recommended	confidently_wrong_single_anchor
baseline_plus_kmer	leave_species_out	western_clawed_frog	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.5191597065847986	0.7676709570719781	0.7676709570719781	0.24851125048717948	0.0	0.0	0.49724852016520266	0.4769278825283631	0.020320637636839556	0.24663735907131867	low_0.40_0.60	0	1	0
baseline_plus_kmer	leave_species_out	western_honey_bee	insect	top2_shortlist_local_probe	insect,insect	insect	insect,insect	insect	1	1	0.946524064171123	0.946524064171123	0.946524064171123	0.0	0.0	0.0	0.3818386888539652	0.3818386888539652	0.0	0.39119565138698137	very_low_lt0.40	0	1	0
baseline_plus_kmer	leave_species_out	x_laevis	vertebrate	top2_shortlist_local_probe	animal,animal	animal	animal,animal	animal	1	1	0.4013777654205557	0.4013777654205557	0.4013777654205557	0.0	0.0	0.0	0.5680372526502248	0.5680372526502248	0.0	0.2663138054702888	low_0.40_0.60	0	1	0
baseline_plus_kmer	leave_species_out	zebrafish	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.5214699959942013	0.8151318178516959	0.8151318178516959	0.29366182185749456	0.0	0.0	0.3041022408920138	0.27107583704386884	0.03302640384814498	0.20715516161026398	very_low_lt0.40	0	1	0
baseline_plus_kmer	leave_clade_out	brachypodium	plant	abstain_require_local_probe		cross	cross,animal	cross	1	1	0.8175422271365038	0.8175422271365038	0.8175422271365038	0.0	0.0	nan	0.8635966298036666	0.8606902654961733	0.0029063643074932477	0.1264758440626319	high_ge0.80	1	1	0
baseline_plus_kmer	leave_clade_out	c_elegans	other	abstain_require_local_probe		cross	cross,animal	animal	0	1	0.8952111633807284	0.9053972034713066	0.9053972034713066	0.010186040090578219	0.0	nan	0.6831777850381159	0.5948565825749331	0.08832120246318276	0.2125605793130526	medium_0.60_0.80	1	1	0
baseline_plus_kmer	leave_clade_out	cattle	vertebrate	abstain_require_local_probe		insect	insect,animal	animal	0	1	0.2681289424464008	0.9216935615407684	0.9216935615407684	0.6535646190943676	0.0	nan	0.2578196091373287	0.23688524810853995	0.02093436102878876	0.3208601003430282	very_low_lt0.40	1	1	0
baseline_plus_kmer	leave_clade_out	chicken	vertebrate	abstain_require_local_probe		human_h0_ntv2_250m	human_h0_ntv2_250m,human_h0_ntv3_100m	human_h0_ntv2_500m	0	0	0.843436719033926	0.843436719033926	0.8516226680157541	0.008185948981828117	0.008185948981828117	nan	0.7446249391812991	0.7446249391812991	0.0	0.14046760235859204	medium_0.60_0.80	1	1	0
baseline_plus_kmer	leave_clade_out	fruit_fly	insect	abstain_require_local_probe		cross	cross,animal	insect	0	0	0.942393180917196	0.9437257723304636	0.944818571090276	0.0024253901730799665	0.0010927987598123856	nan	0.8566408287968765	0.8214257377253285	0.03521509107154808	0.08924089623802794	high_ge0.80	1	1	0
baseline_plus_kmer	leave_clade_out	horse	vertebrate	abstain_require_local_probe		insect	insect,animal	cross	0	0	0.1869044858967403	0.8913728851560259	0.8925601404845789	0.7056556545878385	0.0011872553285530163	nan	0.2578196091373287	0.2391892049447733	0.018630404192555405	0.3208601003430282	very_low_lt0.40	1	1	0
