feature_set	split	n_species	top1_accuracy	top2_contains_best_rate	top2_probe_mean_regret	top2_probe_p90_regret	ece_risk_bin	abstention_rate	local_probe_recommended_rate	deployed_mean_regret	deployed_p90_regret	single_anchor_high_conf_coverage	confidently_wrong_single_anchor_rate	leave_clade_abstention_rule	passes_conservative_gate
baseline_plus_kmer	leave_species_out	22	0.45454545454545453	0.8636363636363636	0.007082966203372802	0.0007707140409847897	nan	0.0	1.0	0.007082966203372802	0.0007707140409847897	0.0	0.0	not applicable	True
baseline_plus_kmer	leave_clade_out	22	0.2727272727272727	0.5909090909090909	0.05069119716487425	0.008046852787746297	nan	1.0	1.0	nan	nan	0.0	0.0	abstain all leave-clade-out species until local chromosome probe	True
baseline_plus_kmer_minhash	leave_species_out	22	0.5	0.7727272727272727	0.0468624519473645	0.039392665576766905	nan	0.0	1.0	0.0468624519473645	0.039392665576766905	0.0	0.0	not applicable	False
baseline_plus_kmer_minhash	leave_clade_out	22	0.3181818181818182	0.8181818181818182	0.042684237954662536	0.0014422373471926796	nan	1.0	1.0	nan	nan	0.0	0.0	abstain all leave-clade-out species until local chromosome probe	True
minhash_only_router	leave_species_out	22	0.4090909090909091	0.7272727272727273	0.04711818356848132	0.039392665576766905	nan	0.0	1.0	0.04711818356848132	0.039392665576766905	0.0	0.0	not applicable	False
minhash_only_router	leave_clade_out	22	0.22727272727272727	0.6818181818181818	0.05343475603657786	0.0746867360203749	nan	1.0	1.0	nan	nan	0.0	0.0	abstain all leave-clade-out species until local chromosome probe	True
