panel	variant	same_panel_comparable	train_steps	mean_train_loss	edge_positive_rate_train	token_label_mode	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction	overmerge_rate	iou_threshold	boundary_tol_bp	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.5	5	244	1092	143	949	101	0.13095238095238096	0.5860655737704918	0.2140718562874252	0.8539445861748259	0.046703296703296704	0.20901639344262296	0.07634730538922156	7.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.5	10	244	1092	143	949	101	0.13095238095238096	0.5860655737704918	0.2140718562874252	0.8539445861748259	0.06318681318681318	0.2827868852459016	0.1032934131736527	7.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.5	25	244	1092	143	949	101	0.13095238095238096	0.5860655737704918	0.2140718562874252	0.8539445861748259	0.08608058608058608	0.38524590163934425	0.1407185628742515	7.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.7	5	244	1092	114	978	130	0.1043956043956044	0.4672131147540984	0.17065868263473055	0.9218801344887213	0.046703296703296704	0.20901639344262296	0.07634730538922156	4.5
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.7	10	244	1092	114	978	130	0.1043956043956044	0.4672131147540984	0.17065868263473055	0.9218801344887213	0.06318681318681318	0.2827868852459016	0.1032934131736527	4.5
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.7	25	244	1092	114	978	130	0.1043956043956044	0.4672131147540984	0.17065868263473055	0.9218801344887213	0.08608058608058608	0.38524590163934425	0.1407185628742515	4.5
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.8	5	244	1092	103	989	141	0.09432234432234432	0.42213114754098363	0.15419161676646706	0.9405342237825162	0.046703296703296704	0.20901639344262296	0.07634730538922156	4.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.8	10	244	1092	103	989	141	0.09432234432234432	0.42213114754098363	0.15419161676646706	0.9405342237825162	0.06318681318681318	0.2827868852459016	0.1032934131736527	4.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.8	25	244	1092	103	989	141	0.09432234432234432	0.42213114754098363	0.15419161676646706	0.9405342237825162	0.08241758241758242	0.36885245901639346	0.1347305389221557	4.0
human_test	ce_raw	True	80	0.7133883856139533	0.1396508728179551	single_nt	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.9	5	244	1092	75	1017	169	0.06868131868131869	0.3073770491803279	0.1122754491017964	0.9712402965880607	0.045787545787545784	0.20491803278688525	0.0748502994011976	2.0
