species	arm	tp	fp	fn	tn	callable_bp	precision	recall	f1
zebrafish	old	2088058	169312	155491	1679036	4091897	0.9249959023110965	0.9306941814063343	0.9278362929881653
zebrafish	curated	2098779	158591	168030	1666497	4091897	0.9297452344985536	0.9258737723381194	0.927805464814721
zebrafish	combined	2098779	158591	168030	1666497	4091897	0.9297452344985536	0.9258737723381194	0.927805464814721
pig	old	1003627	103233	136930	2851703	4095493	0.9067334622264785	0.8799446235479682	0.8931382115557549
pig	curated	902840	204020	96189	2892444	4095493	0.815676779357823	0.9037175097019206	0.8574431036013769
pig	combined	961907	144953	897465	2091168	4095493	0.8690412518294997	0.5173289691358157	0.6485716558920543
chicken	old	129421	23887	28484	3912591	4094383	0.8441894747827902	0.8196130584845318	0.831719754637499
chicken	curated	129851	23457	30796	3910279	4094383	0.8469942860124716	0.8083001861223676	0.8271949801723177
chicken	combined	148836	4472	249475	3691600	4094383	0.9708299632113132	0.3736678123375955	0.5396333338771869
