feature_set	split	n_rows	n_species	rmse	mae	r2	ece_by_predicted_bin	q80_abs_error	q90_abs_error	coverage_q80_interval	coverage_q90_interval	anchor_top1_accuracy	anchor_top2_accuracy	mean_regret	p90_regret	usable_screen
baseline_deployable	leave_species_out	156	22	0.30571845066137815	0.2241004451510674	0.22532354347189265	0.06704229747452589	0.3690492870709896	0.5054514229992493	0.7948717948717948	0.8910256410256411	0.5	0.8636363636363636	0.055031102463486435	0.05492095619892645	False
baseline_deployable	leave_clade_out	156	22	0.41450432050426034	0.36328955933187956	-0.42408260234114126	0.22229216184096326	0.5345899420852933	0.6461819752421532	0.8397435897435898	0.8974358974358975	0.0	0.045454545454545456	0.3290885813407539	0.7246467850377012	False
baseline_plus_kmer	leave_species_out	156	22	0.26424692687131895	0.21944477308837795	0.42124207894264165	0.037236140047392285	0.33875683661245454	0.44327776217671633	0.7948717948717948	0.9038461538461539	0.45454545454545453	0.6818181818181818	0.06801272229845959	0.23969685096090357	False
baseline_plus_kmer	leave_clade_out	156	22	0.41641938454997834	0.34336357146138474	-0.4372718951242218	0.23860385792595876	0.5962273339002566	0.6676766631786717	0.7948717948717948	0.8974358974358975	0.2727272727272727	0.4090909090909091	0.1779651105809863	0.7004465510384915	False
baseline_plus_assembly_kmer	leave_species_out	156	22	0.3484347574590864	0.2871316004211849	-0.006282682654396465	0.15659740246558673	0.4916241984804367	0.6052514633913132	0.8012820512820513	0.9102564102564102	0.5	0.5909090909090909	0.05204976265112548	0.2249027385691923	False
baseline_plus_assembly_kmer	leave_clade_out	156	22	0.40730601263956034	0.3548063255968897	-0.37505066288211864	0.20555861229821826	0.5541982714723938	0.6066119467988214	0.782051282051282	0.8974358974358975	0.3181818181818182	0.4090909090909091	0.1315650358472381	0.28914676472046313	False
genome_only	leave_species_out	156	22	0.3450076326616292	0.28532396377137925	0.01341510100794785	0.17454823397009847	0.4826574595133659	0.5828831009075506	0.8012820512820513	0.8910256410256411	0.45454545454545453	0.5909090909090909	0.05019082354700047	0.2249027385691923	False
genome_only	leave_clade_out	156	22	0.4049982829619561	0.3569059230980431	-0.359513177164406	0.2200143814230871	0.5386005947769184	0.5919279374180213	0.8141025641025641	0.8974358974358975	0.36363636363636365	0.4090909090909091	0.12748273080870792	0.28914676472046313	False
