model_tag	panel	variant	iou_threshold	boundary_tol_bp	n_rows	bp_precision_mean	bp_precision_std	bp_precision_min	bp_precision_max	bp_recall_mean	bp_recall_std	bp_recall_min	bp_recall_max	bp_f1_mean	bp_f1_std	bp_f1_min	bp_f1_max	segment_precision_mean	segment_precision_std	segment_precision_min	segment_precision_max	segment_recall_mean	segment_recall_std	segment_recall_min	segment_recall_max	segment_f1_mean	segment_f1_std	segment_f1_min	segment_f1_max	mean_matched_iou_mean	mean_matched_iou_std	mean_matched_iou_min	mean_matched_iou_max	boundary_precision_mean	boundary_precision_std	boundary_precision_min	boundary_precision_max	boundary_recall_mean	boundary_recall_std	boundary_recall_min	boundary_recall_max	boundary_f1_mean	boundary_f1_std	boundary_f1_min	boundary_f1_max	median_boundary_error_bp_mean	median_boundary_error_bp_std	median_boundary_error_bp_min	median_boundary_error_bp_max	pred_true_backed_rate_mean	pred_true_backed_rate_std	pred_true_backed_rate_min	pred_true_backed_rate_max	short_pred_segments_mean	short_pred_segments_std	short_pred_segments_min	short_pred_segments_max	short_true_backed_rate_mean	short_true_backed_rate_std	short_true_backed_rate_min	short_true_backed_rate_max	short_mean_best_iou_mean	short_mean_best_iou_std	short_mean_best_iou_min	short_mean_best_iou_max	mean_fragments_per_true_mean	mean_fragments_per_true_std	mean_fragments_per_true_min	mean_fragments_per_true_max	split_true_rate_mean	split_true_rate_std	split_true_rate_min	split_true_rate_max	missed_true_rate_mean	missed_true_rate_std	missed_true_rate_min	missed_true_rate_max	true_segments_mean	true_segments_std	true_segments_min	true_segments_max	pred_segments_mean	pred_segments_std	pred_segments_min	pred_segments_max	bp_n_mean	bp_n_std	bp_n_min	bp_n_max
ntv2_250m_w4096	animal_fine	crf_style_penalty4	0.8	5	18	0.8349667441256957	0.09850743239232371	0.6307574545920464	0.9469646962245744	0.5953517439251844	0.3008248959825411	0.0618001731488054	0.9537934793694371	0.6452666459718914	0.26339793201838746	0.1133202590120026	0.9460619556054832	0.2489551065548927	0.19606594182846931	0.0	0.5329264375200771	0.27039032215131975	0.24009974216746333	0.0	0.7117537313432836	0.25565155772442577	0.2138759305473582	0.0	0.5826651393661703	0.8708928206333774	0.2182727008201247	0.0	0.9460043064004792	0.09458152852182608	0.08406243682520581	0.0	0.2444587214905236	0.10649427495055368	0.11135958369476855	0.0	0.3507462686567164	0.0988653772852015	0.09546300962774242	0.0	0.2871324933180603	8.338235294117647	7.151781452280017	4.0	27.5	0.6891182635333108	0.13061626057983308	0.4746644754861682	0.9199400299850076	850.2222222222222	430.15887018027564	91	1512	0.483776153109123	0.18394719012010344	0.2857142857142857	0.893970893970894	0.13363307423304807	0.08894798637112018	0.009916752765721	0.3203031690697365	0.8013069270718344	0.30989031826116226	0.1232974910394265	1.05297580117724	0.09095149509466956	0.05869791424774532	0.0268817204301075	0.2266187050359712	0.3848577137472662	0.31171563425873516	0.0494402985074626	0.9186379928315412	3480.4444444444443	1782.4979241707977	122	6620	3233.6111111111113	1880.204060855501	164	5958	4890357.444444444	43828.56139446618	4777948	4914993
ntv2_250m_w4096	animal_fine	gap50_min80	0.8	5	18	0.8394398941577854	0.09658581480940022	0.6085791792089514	0.9452576536216278	0.6015741255894018	0.2964430346673731	0.0639515402174344	0.9563552442617844	0.6484893676976377	0.2596216596199429	0.1178850822767736	0.9448576105838312	0.2958466486607953	0.2017735330750076	0.0	0.6104240282685512	0.2148754514957769	0.19659427013040856	0.0	0.5994500458295142	0.24253277267988288	0.20187830184088285	0.0	0.6019328117809479	0.8754855267800752	0.21919521030527994	0.0	0.9507897179666708	0.10808922710992813	0.0905157449226414	0.0	0.2791127541589648	0.08206576513685725	0.0911972255486543	0.0	0.2807835820895522	0.09100797262173599	0.091861067144375	0.0	0.2779567418315692	11.823529411764707	12.894937447103258	4.0	49.5	0.744084739318411	0.0954523362148917	0.5532891381947985	0.922211350293542	5.888888888888889	9.022122411631175	0	31	0.07852311716559028	0.15132231770106838	0.0	0.4615384615384615	0.03587363463229915	0.06928614785199473	0.0	0.1734453286177424	0.6521573148776098	0.28871133643544467	0.068100358422939	0.9242329367564184	0.048013901768989974	0.04609998202883109	0.0046641791044776	0.158273381294964	0.4253844123724055	0.30261618209209695	0.102901273220622	0.9480286738351256	3480.4444444444443	1782.4979241707977	122	6620	2105.222222222222	1311.910531183459	83	4225	4890357.444444444	43828.56139446618	4777948	4914993
ntv2_250m_w4096	animal_fine	hmm_penalty2	0.8	5	18	0.834269440055809	0.09836835377728774	0.6296469493116224	0.9466826128000748	0.5950733586065211	0.30063769033524856	0.062665917175787	0.9536081088903406	0.6450322710519467	0.2631094862906521	0.1147971838749279	0.9459859089217176	0.22286758667344733	0.1860143023209644	0.0	0.4946364719904648	0.2736914511570671	0.24185031648499955	0.0	0.7126865671641791	0.24237601171360376	0.2076669353428621	0.0	0.5588880760790051	0.8705428306661921	0.21816073606629138	0.0	0.945695877708879	0.08457900493213719	0.0788884622494579	0.0	0.2279499404052443	0.10745772339865421	0.11163327407303533	0.0	0.3516791044776119	0.0934765794700433	0.09177858150309903	0.0	0.2757863935625457	7.705882352941177	6.324700643927278	4.0	24.5	0.6725853057601416	0.13352506039612194	0.4484313725490196	0.9169406092483016	1393.111111111111	818.7264779837244	143	2931	0.4859688278558957	0.18772555863170984	0.3074074074074074	0.8930185836263185	0.10180325113478556	0.07118186373787955	0.0070405768484212	0.2570497930584153	0.9048490907679942	0.34895900105678446	0.1688172043010752	1.4149771092217136	0.11372375962015743	0.06694839698253773	0.043010752688172	0.2684761281883584	0.3794442200843269	0.30932245219485777	0.0461753731343283	0.9060931899641576	3480.4444444444443	1782.4979241707977	122	6620	3850.777777777778	2170.274814681733	216	6734	4890357.444444444	43828.56139446618	4777948	4914993
ntv2_250m_w4096	animal_fine	gap100_min100	0.8	5	18	0.825881163498462	0.10215433206978505	0.5845431613135009	0.9433639654730934	0.6075901716101917	0.2942644810909964	0.0656748221668766	0.9591933420988072	0.6486391641928289	0.25573261391948016	0.1208101138436379	0.942627748175304	0.29626134944358784	0.18258662165514275	0.0	0.6227979274611399	0.1787889532994017	0.16964401924647562	0.0	0.5508707607699358	0.21445316959623287	0.1814195824762142	0.0	0.5846303501945525	0.8769675127629767	0.21955728882216793	0.0	0.9525510015074116	0.10671411370705608	0.08613382234349184	0.0	0.2839378238341969	0.06793275284523159	0.0802834909538515	0.0	0.2511457378551787	0.0798705310057185	0.08497784101030723	0.0	0.2665369649805448	12.411764705882353	14.965831181099713	4.0	55.0	0.7284590406537236	0.10253866254854428	0.5285374554102259	0.9227941176470588	5.5	8.739699819855169	0	29	0.09658861045667641	0.1825300201705322	0.0	0.5	0.05227827457883113	0.11053884292367627	0.0	0.3902519893899204	0.6154712697313471	0.2882153422319876	0.0551971326164874	0.8975161761636402	0.03544360089955692	0.038935076505802524	0.0004664179104477	0.1272073250490516	0.4345596849526984	0.29985579308456783	0.1120851596743894	0.953405017921147	3480.4444444444443	1782.4979241707977	122	6620	1759.111111111111	1083.2724869790388	61	3506	4890357.444444444	43828.56139446618	4777948	4914993
ntv2_250m_w4096	animal_fine	raw_threshold	0.8	5	18	0.832570255459181	0.09845416295032886	0.6285547734271887	0.9462624261232968	0.594553006815485	0.300485801876289	0.0632307707036597	0.9533300531716958	0.6444392888396313	0.2627057000363488	0.1157337812618516	0.9458267813435794	0.1539357564786091	0.14535147583641173	0.0	0.3776366523021093	0.27696305376731517	0.24491308551161042	0.0	0.7140858208955224	0.19475642985016914	0.18043770903032433	0.0	0.4777656420658448	0.8679827669616418	0.2179343077496963	0.0	0.944840506687284	0.05875495700677864	0.061333580582275844	0.0	0.1777256740914419	0.10838905630908496	0.11201966333554433	0.0	0.353544776119403	0.07509061845102881	0.07854792389204021	0.0	0.2365423623030113	7.25	4.761499238685228	4.0	21.0	0.6329105325401737	0.14319839347841173	0.3719374293252921	0.9111619172042132	4359.944444444444	3222.1944015589606	461	10906	0.5000599181910418	0.20828779081323195	0.2364380757420675	0.901786669519632	0.0500669170707045	0.0371061729748732	0.0042266993896181	0.1342249379173346	1.4956507945436048	0.9099189947093315	0.3960573476702509	3.6955526487900583	0.1709206447653258	0.08334329019691962	0.074160447761194	0.3525179856115107	0.3690917973661442	0.3051906142446031	0.0438432835820895	0.8899641577060932	3480.4444444444443	1782.4979241707977	122	6620	6906.833333333333	4286.0742664642485	564	14117	4890357.444444444	43828.56139446618	4777948	4914993
ntv3_100m_pre_w2048	animal_fine	crf_style_penalty4	0.8	5	18	0.5721166736725364	0.17353858736310518	0.2727825338128767	0.843096646750301	0.555516869543377	0.27327792034852194	0.1644526193882417	0.9418937952011086	0.5314191990848539	0.182429146222377	0.2314990814793562	0.8550125773926264	0.08549973024739972	0.08084428430279372	0.0	0.2597886886264761	0.10352345723185692	0.1203381325610559	0.0	0.3884758364312267	0.09057671106649474	0.09259000158289737	0.0	0.3113594040968342	0.8487259436235013	0.21230082275556936	0.0	0.9217161264905464	0.012310814248759745	0.013582638948989265	0.0	0.0446998722860791	0.014491467453650866	0.01870384423449488	0.0	0.0585501858736059	0.012920022155088378	0.015275170428422887	0.0	0.0487295509919944	15.676470588235293	7.921866842146861	6.0	35.0	0.46000219398770714	0.18351053171829806	0.1517241379310344	0.8146705615060046	510.94444444444446	238.99876254226092	140	901	0.39115397443372024	0.23857544120440688	0.065625	0.8431151241534989	0.06740835551722413	0.04451351664872797	0.0072484362682251	0.1820479368239748	0.9488233424291411	0.40846127571551255	0.3640167364016736	1.8893491124260355	0.11687722590467217	0.08452188594692221	0.0167286245353159	0.306136210384356	0.34239718735709573	0.2210667720098729	0.0617696160267111	0.7298266586969516	1712.8333333333333	951.6151749402017	77	3269	1870.5555555555557	724.6917577776427	725	3081	2444661.4444444445	23334.11577931793	2388080	2457600
ntv3_100m_pre_w2048	animal_fine	hmm_penalty2	0.8	5	18	0.5699439304082191	0.17538649133591713	0.2648476959977733	0.8414947806700231	0.5559710208034678	0.2715144347268196	0.1710971942425038	0.9410237135699296	0.5312932871653698	0.18138602784311977	0.2331940811613199	0.8547019397695893	0.07529679685330236	0.07718926913370211	0.0	0.2403189066059225	0.10761550413842401	0.12380034374953704	0.0	0.3921933085501858	0.08591605806525715	0.09100387006724173	0.0	0.2980225988700565	0.8481600336324625	0.21218261538900396	0.0	0.9192213519804868	0.011077041840546895	0.012750218339867307	0.0	0.0395927601809954	0.015420085399337183	0.019293770547820988	0.0	0.0585501858736059	0.012569373137017106	0.014882657810121208	0.0	0.0455284552845528	15.308823529411764	8.046510021705794	5.5	34.25	0.45532341087210804	0.18779958981841666	0.1585603112840466	0.831463053144188	1028.0	549.4346827314738	280	2196	0.3811391586570483	0.23446939620687546	0.0661322645290581	0.8459196102314251	0.05018810390263348	0.03129476922100211	0.0049297286212538	0.1234965794637713	1.1663208814965993	0.6292216260234911	0.5212193664076509	2.721301775147929	0.15628711189265265	0.10372639661293945	0.0241635687732342	0.3796358732299393	0.3187044500858376	0.2022567102714433	0.0605175292153589	0.6682606096832038	1712.8333333333333	951.6151749402017	77	3269	2483.722222222222	1019.4051209669268	1028	4723	2444661.4444444445	23334.11577931793	2388080	2457600
ntv3_100m_pre_w2048	animal_fine	gap50_min80	0.8	5	18	0.5391594084779856	0.18598062542151225	0.2235583591648675	0.8312982744346782	0.6704320395800553	0.19115426479261485	0.3915477649041229	0.9522438208153488	0.579929298061467	0.15725213170625968	0.3074658185431483	0.8498256604431246	0.08587686116492071	0.07634510520236552	0.0075	0.2682145716573259	0.09229584056320114	0.09521209890698935	0.0287769784172661	0.3234200743494423	0.08423914143979545	0.08203822526181428	0.0136830102622576	0.2893970893970894	0.8959078485039732	0.018899728114983663	0.8432619544286993	0.9193609682516544	0.009957884661764262	0.011287561037099308	0.0	0.0400320256204963	0.010353016410348732	0.012743537715423739	0.0	0.0399628252788104	0.00980699978270065	0.011661313485671286	0.0	0.0391236306729264	25.180555555555557	18.408319242132386	8.0	70.25	0.41065506936758184	0.18104218830784366	0.11625	0.7629994526546251	32.888888888888886	66.61910067813434	0	199	0.053368358940108225	0.09109155345536409	0.0	0.2857142857142857	0.022341764118828544	0.038699431757126077	0.0	0.1368170913950764	0.9294928670315792	0.28903034906699576	0.5893604303646145	1.5609467455621302	0.09821806950233192	0.07974532168949658	0.0112570356472795	0.2784895482130816	0.276378997521197	0.15641344098193585	0.057175528873642	0.5110579796772265	1712.8333333333333	951.6151749402017	77	3269	1593.9444444444443	498.71310534004266	800	2178	2444661.4444444445	23334.11577931793	2388080	2457600
ntv3_100m_pre_w2048	animal_fine	gap100_min100	0.8	5	18	0.5251683938049992	0.19148138878081133	0.200172135769615	0.8270498746966763	0.7084092994880714	0.1632855724226122	0.479861466181734	0.956019078930649	0.5855491501181966	0.15885844721354525	0.3040824351842343	0.8469012398121472	0.08361704622193006	0.07074231077471149	0.007072135785007	0.2617260787992495	0.07826151123073995	0.08036862109940664	0.023181454836131	0.2682926829268293	0.07579495048718568	0.07295707438050024	0.0127551020408163	0.2542524619516562	0.8968877627599395	0.015303826481179393	0.8636753600661385	0.931302630121319	0.009244770410999643	0.010168740207444129	0.0	0.0328330206378986	0.008258114309422316	0.010282550601506756	0.0	0.0343866171003717	0.00836908236291915	0.009948813587937828	0.0	0.0331244404655326	34.65277777777778	34.42330978473668	9.5	125.75	0.37614562277256414	0.1809570744112771	0.0905233380480905	0.72734375	29.72222222222222	58.96739433594842	0	174	0.045061266555907364	0.06492327905959092	0.0	0.2	0.02124091581894622	0.038634465153100865	0.0	0.1410427807486631	0.8775545591761559	0.2153906734500389	0.6102809324566647	1.32603550295858	0.07388281672864255	0.06991924276975471	0.0046468401486988	0.2306136210384356	0.2558279432983651	0.13762658605983544	0.057175528873642	0.4549549549549549	1712.8333333333333	951.6151749402017	77	3269	1295.611111111111	402.87206243770544	707	1933	2444661.4444444445	23334.11577931793	2388080	2457600
ntv3_100m_pre_w2048	animal_fine	raw_threshold	0.8	5	18	0.5602619461221564	0.18364945058852317	0.2308401713746278	0.8362968512265284	0.5578635402721557	0.26532554087685123	0.1998627777291174	0.9394500763076972	0.5300064743813742	0.17879547855670047	0.2355584082156611	0.854108460861682	0.008498670303492807	0.011541873766339172	0.0	0.032506803749622	0.11694988371020942	0.14428010492786714	0.0	0.4386617100371747	0.015683414398245235	0.02110906070993897	0.0	0.059618542377163	0.844355253542426	0.21183649943660463	0.0	0.9238120445326156	0.001286708622222094	0.0019717947907289344	0.0	0.006841548231025	0.01741365216795583	0.02299172229120159	0.0	0.062267657992565	0.0023715028148762946	0.0035829657729615854	0.0	0.0122165226781857	12.382352941176471	5.7521175768274295	5.5	25.5	0.4046205504063446	0.21897632101575418	0.0691024622716441	0.8499511655347233	52035.77777777778	45829.98896504283	13322	175561	0.39436891878954516	0.22741624893037293	0.0500675627622501	0.850405272241557	0.004020272126736133	0.001964413129813556	0.0004020937986455	0.0072934397771031	22.909348267479828	31.98763502114763	2.0148698884758365	93.62337662337664	0.5139875406024789	0.20352153107965998	0.2329974811083123	0.8192852326365475	0.18739443060788144	0.10725235520556071	0.0496661101836394	0.3783783783783784	1712.8333333333333	951.6151749402017	77	3269	53376.833333333336	45819.12515308556	14758	177129	2444661.4444444445	23334.11577931793	2388080	2457600
