model_tag	panel	variant	iou_threshold	boundary_tol_bp	n_rows	bp_precision_mean	bp_precision_std	bp_precision_min	bp_precision_max	bp_recall_mean	bp_recall_std	bp_recall_min	bp_recall_max	bp_f1_mean	bp_f1_std	bp_f1_min	bp_f1_max	segment_precision_mean	segment_precision_std	segment_precision_min	segment_precision_max	segment_recall_mean	segment_recall_std	segment_recall_min	segment_recall_max	segment_f1_mean	segment_f1_std	segment_f1_min	segment_f1_max	mean_matched_iou_mean	mean_matched_iou_std	mean_matched_iou_min	mean_matched_iou_max	boundary_precision_mean	boundary_precision_std	boundary_precision_min	boundary_precision_max	boundary_recall_mean	boundary_recall_std	boundary_recall_min	boundary_recall_max	boundary_f1_mean	boundary_f1_std	boundary_f1_min	boundary_f1_max	median_boundary_error_bp_mean	median_boundary_error_bp_std	median_boundary_error_bp_min	median_boundary_error_bp_max	pred_true_backed_rate_mean	pred_true_backed_rate_std	pred_true_backed_rate_min	pred_true_backed_rate_max	short_pred_segments_mean	short_pred_segments_std	short_pred_segments_min	short_pred_segments_max	short_true_backed_rate_mean	short_true_backed_rate_std	short_true_backed_rate_min	short_true_backed_rate_max	short_mean_best_iou_mean	short_mean_best_iou_std	short_mean_best_iou_min	short_mean_best_iou_max	mean_fragments_per_true_mean	mean_fragments_per_true_std	mean_fragments_per_true_min	mean_fragments_per_true_max	split_true_rate_mean	split_true_rate_std	split_true_rate_min	split_true_rate_max	missed_true_rate_mean	missed_true_rate_std	missed_true_rate_min	missed_true_rate_max	true_segments_mean	true_segments_std	true_segments_min	true_segments_max	pred_segments_mean	pred_segments_std	pred_segments_min	pred_segments_max	bp_n_mean	bp_n_std	bp_n_min	bp_n_max
ntv2_250m_w4096	animal_fine	crf_style_penalty4	0.8	5	18	0.8349667441256957	0.09850743239232371	0.6307574545920464	0.9469646962245744	0.5953517439251844	0.3008248959825411	0.0618001731488054	0.9537934793694371	0.6452666459718914	0.26339793201838746	0.1133202590120026	0.9460619556054832	0.2489551065548927	0.19606594182846931	0.0	0.5329264375200771	0.27039032215131975	0.24009974216746333	0.0	0.7117537313432836	0.25565155772442577	0.2138759305473582	0.0	0.5826651393661703	0.8708928206333774	0.2182727008201247	0.0	0.9460043064004792	0.09458152852182608	0.08406243682520581	0.0	0.2444587214905236	0.10649427495055368	0.11135958369476855	0.0	0.3507462686567164	0.0988653772852015	0.09546300962774242	0.0	0.2871324933180603	8.338235294117647	7.151781452280017	4.0	27.5	0.6891182635333108	0.13061626057983308	0.4746644754861682	0.9199400299850076	850.2222222222222	430.15887018027564	91	1512	0.483776153109123	0.18394719012010344	0.2857142857142857	0.893970893970894	0.13363307423304807	0.08894798637112018	0.009916752765721	0.3203031690697365	0.8013069270718344	0.30989031826116226	0.1232974910394265	1.05297580117724	0.09095149509466956	0.05869791424774532	0.0268817204301075	0.2266187050359712	0.3848577137472662	0.31171563425873516	0.0494402985074626	0.9186379928315412	3480.4444444444443	1782.4979241707977	122	6620	3233.6111111111113	1880.204060855501	164	5958	4890357.444444444	43828.56139446618	4777948	4914993
ntv2_250m_w4096	plant_fine	gap100_min100	0.8	5	15	0.8464887098687629	0.1654291600288877	0.5029164082791843	0.9871138052405164	0.11613259455921474	0.07304394726540663	0.0165046647060997	0.2434692563393028	0.19040001641082424	0.10013580026932188	0.0323542197106129	0.3281003098770752	0.026159544618403606	0.018893557152115346	0.0	0.0625	0.0052913314753969265	0.008733874910004135	0.0	0.0267857142857142	0.0072367684784958065	0.011211452956181419	0.0	0.034090909090909	0.8544798121926004	0.23907409002270905	0.0	0.9846153846153848	0.006607873683527253	0.016056807042379526	0.0	0.0625	0.0005201755804936534	0.001502443185780763	0.0	0.0058823529411764	0.00078100452771688	0.0020505813943448234	0.0	0.008	59.339285714285715	79.129191293954	1.5	266.5	0.8000416877213811	0.17920671062005028	0.4511278195488721	0.963272120200334	0.0	0.0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17688905562785548	0.1947872582070834	0.0088	0.5259856630824373	0.04720518526920844	0.0514236144734102	0.0023696682464454	0.1406401551891367	0.9182820105239158	0.0833957318281825	0.7901785714285714	0.9952	1617.8666666666666	1036.804766486692	170	2845	193.93333333333334	202.33934250117923	12	599	4912505.533333333	3719.6456986936155	4906055	4915200
ntv3_100m_pre_w2048	animal_fine	crf_style_penalty4	0.8	5	18	0.5721166736725364	0.17353858736310518	0.2727825338128767	0.843096646750301	0.555516869543377	0.27327792034852194	0.1644526193882417	0.9418937952011086	0.5314191990848539	0.182429146222377	0.2314990814793562	0.8550125773926264	0.08549973024739972	0.08084428430279372	0.0	0.2597886886264761	0.10352345723185692	0.1203381325610559	0.0	0.3884758364312267	0.09057671106649474	0.09259000158289737	0.0	0.3113594040968342	0.8487259436235013	0.21230082275556936	0.0	0.9217161264905464	0.012310814248759745	0.013582638948989265	0.0	0.0446998722860791	0.014491467453650866	0.01870384423449488	0.0	0.0585501858736059	0.012920022155088378	0.015275170428422887	0.0	0.0487295509919944	15.676470588235293	7.921866842146861	6.0	35.0	0.46000219398770714	0.18351053171829806	0.1517241379310344	0.8146705615060046	510.94444444444446	238.99876254226092	140	901	0.39115397443372024	0.23857544120440688	0.065625	0.8431151241534989	0.06740835551722413	0.04451351664872797	0.0072484362682251	0.1820479368239748	0.9488233424291411	0.40846127571551255	0.3640167364016736	1.8893491124260355	0.11687722590467217	0.08452188594692221	0.0167286245353159	0.306136210384356	0.34239718735709573	0.2210667720098729	0.0617696160267111	0.7298266586969516	1712.8333333333333	951.6151749402017	77	3269	1870.5555555555557	724.6917577776427	725	3081	2444661.4444444445	23334.11577931793	2388080	2457600
ntv3_100m_pre_w2048	plant_fine	gap100_min100	0.8	5	15	0.4027434564053383	0.25755483947351626	0.065861646842796	0.8519440256538419	0.6247477056410531	0.19761120998519863	0.24934443634317	0.8170085218392975	0.45849829807297865	0.23882749545148146	0.1205810453158777	0.8061042248800506	0.027973082172158055	0.02318958118069756	0.0024	0.0649847094801223	0.045004010630714145	0.023541808543761877	0.0050675675675675	0.0933333333333333	0.030480538801857658	0.02176010226265493	0.0043699927166788	0.065738592420727	0.8831401460377852	0.018864568794585975	0.8325290199025027	0.9047773035497304	0.0030574694836081133	0.003279288261905056	0.0	0.0088757396449704	0.005432771220680667	0.006844068129818085	0.0	0.0266666666666666	0.0032595904666312867	0.0032444154826776293	0.0	0.0091848450057405	108.31666666666666	201.13586973794128	12.0	756.5	0.28708097089487095	0.20300120876989913	0.0300925925925925	0.70064874884152	1.4	2.164651077128664	0	7	0.08015873015873015	0.1875015746973432	0.0	0.6666666666666666	0.06262961847487677	0.13592706897753642	0.0	0.4285714285714285	1.0972802769851535	0.61713427535597	0.2956081081081081	2.213953488372093	0.13243637640946934	0.11491336414260653	0.0234375	0.3372093023255814	0.2836503841585956	0.24320455346178685	0.0666666666666666	0.7415540540540541	770.0666666666667	499.6139176070525	75	1410	1169.8	210.291362501785	781	1393	2456197.2	1969.5869835359929	2452184	2457600
