species	tiles	callable_bp	tp	fp	fn	tn	reference_prevalence	precision	recall	f1	reference_negative_fpr	fp_per_million_callable_bp	balanced_accuracy	all_fp_rescue_f1_upper_bound	f1_at_trio_pooled_prevalence	fp_rescue_bp_needed_for_observed_zebrafish_f1	fp_rescue_fraction_needed	fp_only_rescue_can_reach_observed_zebrafish	f1_at_prevalence_0.1	f1_at_prevalence_0.25	f1_at_prevalence_0.5
c_elegans	500	4076828	297787	59158	92008	3627875	0.09561232409118069	0.8342657832439171	0.7639579779114662	0.7975654176821919	0.01604487944642752	14510.79123279177	0.8739565492325193	0.8858317057493629	0.8471723091286525	90731	1.5337061584967644	False	0.8006426671398258	0.8431776290685501	0.8583783725442212
chicken	500	4094383	129421	23887	28484	3912591	0.03856625039719049	0.8441894747827902	0.8196130584845318	0.831719754637499	0.006068114695420628	5834.090264638164	0.9067724718945556	0.9149985079080871	0.8935128848181625	27900	1.167973904322011	False	0.8746149277641029	0.8919417754321324	0.8978709651225009
human	500	4092984	1785658	90421	136283	2080622	0.46956963428149245	0.9518032023171732	0.9290909554455626	0.9403099509744551	0.04164864537459645	22091.706197727624	0.9437211550354832	0.964951763444527	0.914523860412201	0	0.0	True	0.8065275020971855	0.9046487521805964	0.9428855593695936
mouse	500	4090361	1507571	94374	91279	2397137	0.390882369551245	0.9410878650640315	0.9429095912687244	0.9419978474097841	0.037878219281391894	23072.291174299775	0.9525156859936663	0.9722991445962256	0.9260678928840036	0	0.0	True	0.8257325429720714	0.9169844915084641	0.9520551229632759
pig	500	4095493	1003627	103233	136930	2851703	0.27849077021984897	0.9067334622264785	0.8799446235479682	0.8931382115557549	0.034935782027089586	25206.489182132653	0.9225044207604393	0.9417480271414289	0.8950953726643128	72733	0.7045461938648033	True	0.8020032739920171	0.8867048749797657	0.9190596143613595
zebrafish	500	4091897	2088058	169312	155491	1679036	0.5482906827811159	0.9249959023110965	0.9306941814063343	0.9278362929881653	0.09160179792982706	41377.38559890437	0.9195461917382536	0.9667059295353913	0.8630653574666067	0	0.0	True	0.6756129946598555	0.8439758428189246	0.9204332015849074
