stage	model_key	window	species	position_bin	te_f1	te_precision	te_recall	te_auprc	macro_f1	bg_f1	n_labeled_tokens	te_positive_rate	n_windows	model_dir	data_dir
edge_H0_window	dnabert2	512	human	edge_left_10	0.6520726595249186	0.8760951188986232	0.5192878338278932	0.8777217130530633	0.7370017648041756	0.8219308700834327	3171	0.4251024913276569	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
edge_H0_window	dnabert2	512	human	inner_left_10_25	0.7028589784773529	0.9193277310924369	0.5689027561102444	0.9064148941209496	0.7739458236330474	0.8450326687887418	4541	0.4234750055053953	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
edge_H0_window	dnabert2	512	human	center_25_75	0.7075894988066826	0.9107888916195626	0.5785201373712144	0.90757453407581	0.7767768967505879	0.8459642946944933	15180	0.4220026350461133	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
edge_H0_window	dnabert2	512	human	inner_right_75_90	0.7415997621171573	0.9540933435348126	0.6065175097276264	0.9390420163995744	0.7956398741393604	0.8496799861615637	4572	0.44969378827646544	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
edge_H0_window	dnabert2	512	human	edge_right_10	0.692377495462795	0.8965922444183314	0.5639320029563932	0.8892019931099527	0.7653204271207105	0.8382633587786259	3198	0.4230769230769231	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
