path	species	te_f1	te_precision	te_recall	te_auprc	macro_f1	n_windows
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/brachypodium.json	brachypodium	0.864271876385874	0.8903529864383957	0.8396752687196698	0.8924052901072518	0.9284100793872878	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/c_elegans.json	c_elegans	0.7666767126660243	0.7955880927839593	0.7397929091028246	0.8444095750518357	0.8633246368840912	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/cattle.json	cattle	0.9486191256077836	0.9378462792508867	0.9596423387954225	0.9904665618729814	0.9365260154891026	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/chicken.json	chicken	0.9277785109908641	0.9244841896078088	0.9310963944076527	0.9721622243804202	0.9606260625887189	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/fruit_fly.json	fruit_fly	0.9039839809345194	0.8716569031383534	0.9388012358393408	0.9711196365413541	0.7951525206434495	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/horse.json	horse	0.9198305555518282	0.9102753750587586	0.9295884659821327	0.9771786937619837	0.9267502480729879	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/human.json	human	0.9284848357485194	0.919634703196347	0.9375069625322929	0.9794981790547904	0.9334580436198545	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/lizard.json	lizard	0.9468013468013469	0.9462603174603175	0.9473429951690822	0.9790601676591283	0.9720652000779253	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/maize.json	maize	0.9353064782096585	0.9382664934937263	0.9323650805280491	0.9764088570631654	0.9089879396089735	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/mouse.json	mouse	0.9524795772543427	0.9484246934530649	0.9565692823353222	0.9916487017177316	0.9381440159035643	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/opossum.json	opossum	0.9197646216850224	0.9087068199822359	0.9310948572144121	0.9756759519332875	0.910850554397678	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/pig.json	pig	0.9099275250061758	0.9059485597565551	0.9139415960166869	0.9707672616766939	0.9365529164240256	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/red_flour_beetle.json	red_flour_beetle	0.14944356120826707	0.3333333333333333	0.09631147540983606	0.12073379702438919	0.5745592428027019	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/rice.json	rice	0.8075074141674281	0.8141074575664188	0.8010135244780534	0.8861754602249458	0.869929507342425	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/sorghum.json	sorghum	0.847627675671508	0.8288122735347195	0.8673172030551214	0.9273490601016167	0.8980773108506555	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/soybean.json	soybean	0.5797187709247824	0.6908246824424528	0.49939987181728135	0.6190218928729591	0.7691263296864372	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/teosinte.json	teosinte	0.9608349926045573	0.9572113902008658	0.9644861341494755	0.9689262273993128	0.959038029991693	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/thale_cress.json	thale_cress	0.41675290138086807	0.6325834346709904	0.31073390080807073	0.43960541484133614	0.6915386661069152	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/western_clawed_frog.json	western_clawed_frog	0.8557160105677158	0.8471083182447545	0.8645004287387833	0.9276479307996157	0.9093963373935006	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/western_honey_bee.json	western_honey_bee	0.8108882521489972	0.7369791666666666	0.9012738853503185	0.8973236954304942	0.9054040216084409	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/x_laevis.json	x_laevis	0.9368042130524631	0.9267802087283399	0.9470474265015584	0.9818120897559955	0.9659101305312154	1200
reports/tefm_final/PIPE-TEFM-FINAL-20260623/species_probe/zebrafish.json	zebrafish	0.9035688773693423	0.8765387642989935	0.9323191071484241	0.9702967881177906	0.8895511547483599	1200
