variant	split	iou_threshold	boundary_tol_bp	train_steps	mean_train_loss	token_label_mode	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction
ce_baseline	val	0.8	5	40	0.06228233132278547	single_nt	83579	7428	1148	71685	0.9183799048424847	0.9864506001628761	0.9511989711723401	0.517132568359375	0.555462646484375	163840	156	353	62	291	94	0.17563739376770537	0.3974358974358974	0.24361493123772102	0.9391268382758398	0.0708215297450425	0.16025641025641027	0.09823182711198428	5.75	0.45042492917847027	243	0.29218106995884774	0.018265276036901527	1.435897435897436	0.1346153846153846	0.019230769230769232	0	0	0	0.0
retention_constrained_raw	val	0.8	5	40	0.3434852539910935	single_nt	84143	8820	584	70293	0.9051235437754805	0.9931072739504526	0.9470763689571726	0.517132568359375	0.567401123046875	163840	156	406	57	349	99	0.14039408866995073	0.36538461538461536	0.20284697508896798	0.9262963520686102	0.05665024630541872	0.14743589743589744	0.08185053380782918	7.0	0.23399014778325122	303	0.04950495049504951	0.009282058987410408	1.064102564102564	0.038461538461538464	0.02564102564102564	87	5	82	0.05747126436781609
retention_constrained_decoder	val	0.8	5	40	0.176848354190588	single_nt	83992	7683	735	71430	0.9161930733569675	0.9913250793725731	0.9522794526139159	0.517132568359375	0.559539794921875	163840	156	216	60	156	96	0.2777777777777778	0.38461538461538464	0.3225806451612903	0.9308151115373368	0.0787037037037037	0.10897435897435898	0.09139784946236558	7.5	0.48148148148148145	109	0.1834862385321101	0.029031073522743114	1.108974358974359	0.057692307692307696	0.019230769230769232	105	7	98	0.06666666666666667
ce_baseline	test	0.8	5	40	0.06228233132278547	single_nt	45363	5264	26521	86692	0.8960238607857467	0.6310583718212676	0.7405539094448662	0.4387451171875	0.309002685546875	163840	244	336	89	247	155	0.2648809523809524	0.36475409836065575	0.30689655172413793	0.9343773998834838	0.12202380952380952	0.1680327868852459	0.1413793103448276	4.0	0.6696428571428571	183	0.47540983606557374	0.0368254019499804	1.1147540983606556	0.13934426229508196	0.26229508196721313	0	0	0	0.0
retention_constrained_raw	test	0.8	5	40	0.3434852539910935	single_nt	67309	17438	4575	74518	0.7942346041747791	0.9363557954482221	0.8594594939699037	0.4387451171875	0.517254638671875	163840	244	473	66	407	178	0.13953488372093023	0.27049180327868855	0.18410041841004185	0.9372166973931073	0.052854122621564484	0.10245901639344263	0.0697350069735007	5.0	0.3594080338266385	325	0.19384615384615383	0.01580964220126332	1.1434426229508197	0.0860655737704918	0.11475409836065574	22	7	15	0.3181818181818182
retention_constrained_decoder	test	0.8	5	40	0.176848354190588	single_nt	61975	6813	9909	85143	0.9009565621910799	0.8621529130265427	0.8811277297543221	0.4387451171875	0.4198486328125	163840	244	340	74	266	170	0.21764705882352942	0.30327868852459017	0.2534246575342466	0.9265966953507593	0.07352941176470588	0.10245901639344263	0.08561643835616438	6.0	0.638235294117647	193	0.5025906735751295	0.0179168305898134	1.139344262295082	0.09836065573770492	0.2540983606557377	44	12	32	0.2727272727272727
