path	stage	model_key	model	window	species	group	te_f1	te_precision	te_recall	te_auprc	macro_f1	bg_f1	n_windows	n_labeled_tokens
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/mouse.json	transfer_BC_w2048	generanno	generanno	2048	mouse	vertebrate	0.8998303782568525	0.8919024419919191	0.9079005181102687	0.9561414088042183	0.8869676604395271	0.8741049426222018	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/rice.json	transfer_BC_w2048	generanno	generanno	2048	rice	plant	0.35196224937894727	0.838641793320795	0.22271598872016535	0.6501808013455189	0.5996113371827392	0.8472604249865311	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/sorghum.json	transfer_BC_w2048	generanno	generanno	2048	sorghum	plant	0.5230074125517604	0.917809377212479	0.3656993447173892	0.7805246830996175	0.7008619048181824	0.8787163970846045	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/thale_cress.json	transfer_BC_w2048	generanno	generanno	2048	thale_cress	plant	0.06355753806470868	0.7291513817559305	0.0332269047101631	0.18768225372312985	0.5131946540588553	0.9628317700530019	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/western_clawed_frog.json	transfer_BC_w2048	generanno	generanno	2048	western_clawed_frog	vertebrate	0.6668922901701417	0.8372057292646524	0.5541592295878128	0.8011032011915595	0.7529521250857469	0.839011960001352	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/generanno/zebrafish.json	transfer_BC_w2048	generanno	generanno	2048	zebrafish	vertebrate	0.7367043940161797	0.7828461329801663	0.6956991839368136	0.810403977899054	0.8049150616192166	0.8731257292222534	1200	2457600
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/brachypodium.json	transfer_BC_w2048	hyenadna	hyenadna	2048	brachypodium	plant	0.09208231788900124	0.05183866349606911	0.4116792189231288	0.05672937898179801	0.4128899455170732	0.7336975731451452	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/c_elegans.json	transfer_BC_w2048	hyenadna	hyenadna	2048	c_elegans	invertebrate	0.247648136835675	0.16083437065507777	0.5380979055041403	0.15678391225453894	0.40910654769693233	0.5705649585581897	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/chicken.json	transfer_BC_w2048	hyenadna	hyenadna	2048	chicken	vertebrate	0.2645164113279731	0.19412017032166753	0.41502053082213963	0.19756411302108096	0.5118425569160232	0.7591687025040732	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/fruit_fly.json	transfer_BC_w2048	hyenadna	hyenadna	2048	fruit_fly	invertebrate	0.6939207320677092	0.7739848968415912	0.6288680479429926	0.7882236024999452	0.5612179286716882	0.42851512527566715	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/human.json	transfer_BC_w2048	hyenadna	hyenadna	2048	human	vertebrate	0.7961983628825922	0.7563789514474357	0.8404433256878835	0.9006598289800577	0.85198835857295	0.9077783542633077	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/maize.json	transfer_BC_w2048	hyenadna	hyenadna	2048	maize	plant	0.5345927824223837	0.7553361230409206	0.41369299807485943	0.7578767784193814	0.40948163429590656	0.28437048616942934	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/mouse.json	transfer_BC_w2048	hyenadna	hyenadna	2048	mouse	vertebrate	0.7075690194338708	0.5991505316470208	0.8638937674336231	0.7911290284728146	0.5516379217514167	0.39570682406896257	1200	2455200
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/transfer_BC_w2048/hyenadna/rice.json	transfer_BC_w2048	hyenadna	hyenadna	2048	rice	plant	0.3393679711331198	0.2779681536681228	0.43558301275165157	0.28941884732192086	0.4612504107013732	0.5831328502696266	1200	2455200
