model	n_species	mean_te_f1	median_te_f1	mean_te_auprc
dnabert2	12	0.45351508507046784	0.37949931770203205	0.6052658784028817
generanno	12	0.5477451533890066	0.5114970331807985	0.7295194724632695
hyenadna	12	0.4257927691207821	0.39287832812300694	0.4209499217817693
ntv2_500m	12	0.5366507255401123	0.555875124771798	0.7010502214455858
