path	stage	model_key	window	species	position_bin	te_f1	te_precision	te_recall	te_auprc	macro_f1	bg_f1	n_labeled_tokens	te_positive_rate	n_windows	model_dir	data_dir
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w4096.tsv	edge_H0_window	dnabert2	4096	human	edge_left_10	0.8822495606326889	0.8534	0.9131179114059491	0.958343348437504	0.9011514525982284	0.9200533445637679	23920	0.3907190635451505	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w4096_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w4096.tsv	edge_H0_window	dnabert2	4096	human	inner_left_10_25	0.8868938401048492	0.8624227362518321	0.9127942267484993	0.9621694699781228	0.9011097928938688	0.9153257456828885	35644	0.4159746380877567	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w4096_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w4096.tsv	edge_H0_window	dnabert2	4096	human	center_25_75	0.8902011191541592	0.8748385381050072	0.9061128927538513	0.9619916267163252	0.9028176312954167	0.9154341434366742	118908	0.42744811114475056	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w4096_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w4096.tsv	edge_H0_window	dnabert2	4096	human	inner_right_75_90	0.8945672632149807	0.8616642084562438	0.9300829187396351	0.970121195328986	0.905990745728283	0.9174142282415853	35683	0.422470083793403	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w4096_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w4096.tsv	edge_H0_window	dnabert2	4096	human	edge_right_10	0.8827151788652282	0.8469240483492694	0.9216648669873369	0.9626788656797179	0.8945031293387173	0.9062910798122066	23949	0.4253622280679778	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w4096_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w4096_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w512.tsv	edge_H0_window	dnabert2	512	human	edge_left_10	0.6520726595249186	0.8760951188986232	0.5192878338278932	0.8777217130530633	0.7370017648041756	0.8219308700834327	3171	0.4251024913276569	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w512.tsv	edge_H0_window	dnabert2	512	human	inner_left_10_25	0.7028589784773529	0.9193277310924369	0.5689027561102444	0.9064148941209496	0.7739458236330474	0.8450326687887418	4541	0.4234750055053953	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w512.tsv	edge_H0_window	dnabert2	512	human	center_25_75	0.7075894988066826	0.9107888916195626	0.5785201373712144	0.90757453407581	0.7767768967505879	0.8459642946944933	15180	0.4220026350461133	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w512.tsv	edge_H0_window	dnabert2	512	human	inner_right_75_90	0.7415997621171573	0.9540933435348126	0.6065175097276264	0.9390420163995744	0.7956398741393604	0.8496799861615637	4572	0.44969378827646544	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w512.tsv	edge_H0_window	dnabert2	512	human	edge_right_10	0.692377495462795	0.8965922444183314	0.5639320029563932	0.8892019931099527	0.7653204271207105	0.8382633587786259	3198	0.4230769230769231	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w512_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w512_quick
