stage	model_key	window	group	n_species	n_rows	mean_te_f1	median_te_f1	mean_te_auprc	median_te_auprc	mean_macro_f1	median_macro_f1	mean_te_precision	mean_te_recall
transfer_BC_w2048	dnabert2	2048	invertebrate	2	2	0.4286165481671548	0.4286165481671548	0.5878653351866046	0.5878653351866046	0.5662385638939935	0.5662385638939935	0.6249363902529061	0.337953288174505
transfer_BC_w2048	dnabert2	2048	plant	5	5	0.206187082133989	0.22194987744485015	0.4063660811019722	0.40398730638316976	0.4988044899417588	0.525306957656756	0.526346997847525	0.1342996202548782
transfer_BC_w2048	dnabert2	2048	vertebrate	5	5	0.7108025027682718	0.7844844184063593	0.8111258929903021	0.8304638067878073	0.792518829436818	0.873748429655735	0.7863661332837409	0.6744452340031719
transfer_BC_w2048	generanno	2048	invertebrate	2	2	0.34706877011761733	0.34706877011761733	0.731797536297941	0.731797536297941	0.533496982643132	0.533496982643132	0.9018891823693433	0.22446493498470427
transfer_BC_w2048	generanno	2048	plant	5	5	0.35046221726404864	0.4002205964588869	0.5657855423376899	0.6501808013455189	0.5819911097572128	0.5996113371827392	0.7640044780794202	0.26044470001023134
transfer_BC_w2048	generanno	2048	vertebrate	5	5	0.8252986428225203	0.8438237985830672	0.8923421770549804	0.8970891370935811	0.8674461211641381	0.8869676604395271	0.8641161185250871	0.7991049221257034
transfer_BC_w2048	hyenadna	2048	invertebrate	2	2	0.4707844344516921	0.4707844344516921	0.47250375737724204	0.47250375737724204	0.48516223818431026	0.48516223818431026	0.4674096337483345	0.5834829767235664
transfer_BC_w2048	hyenadna	2048	plant	5	5	0.291600897962213	0.3393679711331198	0.29442131300615454	0.28941884732192086	0.41770568441416495	0.4128899455170732	0.28995721454723916	0.4779156659539073
transfer_BC_w2048	hyenadna	2048	vertebrate	5	5	0.5419879741469874	0.514607765019391	0.5268569963191949	0.4117531216846065	0.5846866855379761	0.5215314497109313	0.46532802090392417	0.6628939058737492
transfer_BC_w2048	ntv2_500m	2048	invertebrate	2	2	0.5413676697404893	0.5413676697404893	0.7390503178487695	0.7390503178487695	0.6503568514868078	0.6503568514868078	0.8776329141007222	0.4035834538446496
transfer_BC_w2048	ntv2_500m	2048	plant	5	5	0.23552714733142968	0.24677326990000442	0.4933229002885354	0.46968993418421534	0.5190787136708604	0.5018892314085439	0.8178630098047354	0.15127563216458786
transfer_BC_w2048	ntv2_500m	2048	vertebrate	5	5	0.8358875260686442	0.8264788027846097	0.8935775040413627	0.8918714253022295	0.8753419968575793	0.8983911089495029	0.8609672012952047	0.8184817068940384
transfer_BC_w4096	generanno	4096	invertebrate	2	2	0.18476006124334388	0.18476006124334388	0.7024980631208999	0.7024980631208999	0.4605147445695365	0.4605147445695365	0.8611882111463094	0.10392973783417617
transfer_BC_w4096	generanno	4096	plant	5	5	0.2855283860934293	0.3165055108526608	0.579980446179276	0.7040897572321463	0.554434100702508	0.5867588500809071	0.7426125245734343	0.19512153237363208
transfer_BC_w4096	generanno	4096	vertebrate	5	5	0.8047147532306049	0.8354232678621717	0.8856928831596431	0.888771759241679	0.851776380926812	0.8900617375154808	0.8708358790313373	0.7690142833185646
transfer_BC_w4096	ntv2_500m	4096	invertebrate	2	2	0.5014057544935893	0.5014057544935893	0.7478526405738312	0.7478526405738312	0.6498578841051503	0.6498578841051503	0.9345907091780457	0.3591568520546683
transfer_BC_w4096	ntv2_500m	4096	plant	5	5	0.17719083031261734	0.1793904911276665	0.49793654455063424	0.5109621431563902	0.4962616900497533	0.49786589475001686	0.8593568161892768	0.10708333485706556
transfer_BC_w4096	ntv2_500m	4096	vertebrate	5	5	0.8666793137175212	0.8516226680157541	0.9115511425052867	0.9117575520886761	0.8930937025514256	0.9132021298004505	0.8663562184935578	0.8687633401008886
transfer_BC_w2048	dnabert2	2048		12	12	0.4535150850704677	0.37949931770203205	0.6052658784028816	0.634690807327669	0.6324244770567392	0.5935949099859811	0.6511198696801784	0.3933025706366051
transfer_BC_w2048	generanno	2048		12	12	0.5477451533890066	0.5114970331807985	0.7295194724632695	0.8057535895453067	0.6928483433244182	0.6921353583919221	0.8286984456467685	0.47888983172075683
transfer_BC_w2048	hyenadna	2048		12	12	0.4257927691207821	0.39287832812300694	0.4209499217817694	0.3115747249998679	0.4985238605107771	0.48512529053398373	0.3926037870627071	0.572584484382118
transfer_BC_w2048	ntv2_500m	2048		12	12	0.5366507255401123	0.555875124771798	0.7010502214455858	0.8024495942527048	0.6894014379679846	0.6829885976354144	0.8457847403084288	0.4713294669152026
transfer_BC_w4096	generanno	4096		12	12	0.4850613182589049	0.3979513684382783	0.7277802310780329	0.8006652975584132	0.6626734914404727	0.6420780131148246	0.8158015366930398	0.419044879510778
transfer_BC_w4096	ntv2_500m	4096		12	12	0.5185135190948226	0.5014057544935893	0.7119286430356055	0.82575595454191	0.6872077276013496	0.6553132002963116	0.8748122159808553	0.4664622565749257
