source	gc_count	gc_mean	gc_std	gc_min	gc_max	entropy_2bit_max_count	entropy_2bit_max_mean	entropy_2bit_max_std	entropy_2bit_max_min	entropy_2bit_max_max	max_homopolymer_count	max_homopolymer_mean	max_homopolymer_std	max_homopolymer_min	max_homopolymer_max	top_6mer_frac_count	top_6mer_frac_mean	top_6mer_frac_std	top_6mer_frac_min	top_6mer_frac_max	binary_mean_prob_count	binary_mean_prob_mean	binary_mean_prob_std	binary_mean_prob_min	binary_mean_prob_max	sf5_best_main4_frac_count	sf5_best_main4_frac_mean	sf5_best_main4_frac_std	sf5_best_main4_frac_min	sf5_best_main4_frac_max	sf5_unknown_frac_count	sf5_unknown_frac_mean	sf5_unknown_frac_std	sf5_unknown_frac_min	sf5_unknown_frac_max	sf5_bg_frac_count	sf5_bg_frac_mean	sf5_bg_frac_std	sf5_bg_frac_min	sf5_bg_frac_max
background_strict_negative	260	0.38208311870421247	0.10408192132047091	0.150390625	0.775390625	260	1.9150616150474482	0.07551642027246662	1.6066704378077388	1.9951700792368865	260	7.469230769230769	4.529932131973406	4	50	260	0.01132954162487597	0.007602658231269128	0.0039447731755424065	0.05719921104536489	0					0					0					0				
high_score_strict_bg	9	0.15299479166666666	0.0810664524594204	0.080078125	0.345703125	9	1.5744906428140761	0.16245630722884402	1.3761165219238114	1.8923181753966696	9	7.222222222222222	1.6414763002993507	5	10	9	0.01972386587771203	0.007765293761352872	0.009861932938856016	0.03155818540433925	9	0.8892925182978312	0.029225398013566443	0.8541110157966614	0.9373254776000977	9	0.0	0.0	0.0	0.0	9	0.0026041666666666665	0.0078125	0.0	0.0234375	9	0.9973958333333334	0.007812499999999999	0.9765625	1.0
known_main4	880	0.4092085404829545	0.08504262789893265	0.216796875	0.75390625	880	1.936008649829049	0.05163118622787598	1.6450930513141775	1.9993147752852929	880	6.1875	2.145997279377219	4	39	880	0.008559709521247983	0.004526477124361568	0.0039447731755424065	0.0670611439842209	0					0					0					0				
unknown_annotation	260	0.6030949519230769	0.11863485541570323	0.26953125	0.822265625	260	1.9078463852595262	0.08496804175397751	1.6744371958041353	1.9991851994654717	260	7.219230769230769	2.8233060976552515	4	23	260	0.014853588226369292	0.007085889201639279	0.005917159763313609	0.03550295857988166	0					260	0.47058293269230766	0.29028571070439907	0.0	1.0	260	0.06196664663461538	0.13048407112391264	0.0	0.720703125	260	0.38255709134615384	0.3214984193643021	0.0	1.0
