exp_id	model_key	window	stride	weight_mode	data_jsonl	model_dir	n_windows	edge_source	position_bin	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	source_path
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	edge_left_10	103368	8536	9125	124971	0.9237203317128968	0.9188838416612589	0.9212957392478509	0.45728861788617886	0.4548943089430894	246000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	inner_left_10_25	162611	10758	11366	183665	0.9379473839036967	0.9346695252820775	0.9363055857847795	0.4722502714440825	0.47059989142236697	368400	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	center_25_75	532048	32040	34077	630635	0.9432003517181716	0.9398065798189446	0.9415004074453222	0.4607137044270833	0.4590559895833333	1228800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	inner_right_75_90	160427	10070	11220	186683	0.9409373771972528	0.9346332880854311	0.9377747381219603	0.4659256243213898	0.4628040173724213	368400	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	raw_window	edge_right_10	108226	7086	6176	124512	0.9385493270431525	0.9460149298089194	0.9422673411285337	0.4650487804878049	0.4687479674796748	246000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	merged_coordinate	edge_left_10	103368	8536	9125	124971	0.9237203317128968	0.9188838416612589	0.9212957392478509	0.45728861788617886	0.4548943089430894	246000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	merged_coordinate	inner_left_10_25	162611	10758	11366	183665	0.9379473839036967	0.9346695252820775	0.9363055857847795	0.4722502714440825	0.47059989142236697	368400	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	merged_coordinate	center_25_75	532048	32040	34077	630635	0.9432003517181716	0.9398065798189446	0.9415004074453222	0.4607137044270833	0.4590559895833333	1228800	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	merged_coordinate	inner_right_75_90	160427	10070	11220	186683	0.9409373771972528	0.9346332880854311	0.9377747381219603	0.4659256243213898	0.4628040173724213	368400	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
PIPE-TEFM-SEG-SF-20260618	generanno	2048	2048	triangular	software_outputs/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/data/human_H0_overlap_w2048_s2048/test/data.jsonl.gz	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	1200	merged_coordinate	edge_right_10	108226	7086	6176	124512	0.9385493270431525	0.9460149298089194	0.9422673411285337	0.4650487804878049	0.4687479674796748	246000	reports/tefm_seg_sf/PIPE-TEFM-SEG-SF-20260618/overlap_segment/edge_bins_w2048_s2048.tsv
